20251022-13:52:08 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:09 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:10 %Cpu(s):   0.0 us,   0.4 sy,   0.0 ni,  99.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:11 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:12 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:13 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:14 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:15 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:16 %Cpu(s):   1.4 us,   0.9 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:17 %Cpu(s):   1.4 us,   0.9 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:18 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:19 %Cpu(s):   1.9 us,   0.9 sy,   0.0 ni,  97.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:20 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:21 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:22 %Cpu(s):   4.9 us,   0.9 sy,   0.0 ni,  94.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:23 %Cpu(s):  11.3 us,   1.4 sy,   0.0 ni,  86.6 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251022-13:52:24 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
