20251023-16:12:12 %Cpu(s):  36.9 us,   6.8 sy,   0.0 ni,  50.2 id,   1.4 wa,   0.0 hi,   3.9 si,   0.4 st
20251023-16:12:13 %Cpu(s):  39.1 us,   6.9 sy,   0.0 ni,  50.0 id,   0.4 wa,   0.0 hi,   2.9 si,   0.4 st
20251023-16:12:14 %Cpu(s):  36.2 us,   7.8 sy,   0.0 ni,  52.4 id,   0.4 wa,   0.0 hi,   2.9 si,   0.0 st
20251023-16:12:15 %Cpu(s):  24.1 us,   3.5 sy,   0.0 ni,  69.3 id,   1.5 wa,   0.0 hi,   1.0 si,   0.5 st
20251023-16:12:16 %Cpu(s):  19.4 us,   2.9 sy,   0.0 ni,  77.6 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:17 %Cpu(s):  17.3 us,   4.8 sy,   0.0 ni,  76.4 id,   0.4 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:12:18 %Cpu(s):  16.7 us,   3.9 sy,   0.0 ni,  79.3 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:19 %Cpu(s):  18.2 us,   4.9 sy,   0.0 ni,  74.3 id,   1.4 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:12:20 %Cpu(s):  26.2 us,   3.5 sy,   0.0 ni,  66.1 id,   0.5 wa,   0.0 hi,   3.0 si,   0.5 st
20251023-16:12:21 %Cpu(s):  37.2 us,   7.3 sy,   0.0 ni,  52.9 id,   0.0 wa,   0.0 hi,   1.9 si,   0.4 st
20251023-16:12:22 %Cpu(s):  33.1 us,   6.0 sy,   0.0 ni,  50.7 id,   7.0 wa,   0.0 hi,   3.0 si,   0.0 st
20251023-16:12:23 %Cpu(s):  26.1 us,   5.4 sy,   0.0 ni,  59.1 id,   7.3 wa,   0.0 hi,   1.4 si,   0.4 st
20251023-16:12:24 %Cpu(s):  29.4 us,   5.3 sy,   0.0 ni,  60.2 id,   2.4 wa,   0.0 hi,   1.9 si,   0.4 st
20251023-16:12:25 %Cpu(s):  13.6 us,   5.3 sy,   0.0 ni,  69.2 id,  11.2 wa,   0.0 hi,   0.4 si,   0.0 st
20251023-16:12:26 %Cpu(s):  18.0 us,   3.9 sy,   0.0 ni,  75.1 id,   1.9 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:12:27 %Cpu(s):  13.9 us,   3.3 sy,   0.0 ni,  80.2 id,   2.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:28 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  97.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:12:29 %Cpu(s):   0.9 us,   0.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:30 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:12:31 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:32 %Cpu(s):   0.9 us,   0.4 sy,   0.0 ni,  98.0 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:33 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:34 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  98.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:35 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:36 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:37 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:12:38 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:39 %Cpu(s):   0.9 us,   0.4 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:40 %Cpu(s):   0.0 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:12:41 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:42 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:43 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:44 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:46 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  95.6 id,   0.4 wa,   0.0 hi,   0.0 si,   1.9 st
20251023-16:12:47 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:48 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:49 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.4 st
20251023-16:12:50 %Cpu(s):   0.4 us,   0.9 sy,   0.0 ni,  98.5 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:51 %Cpu(s):   1.4 us,   2.4 sy,   0.0 ni,  91.5 id,   4.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:52 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:53 %Cpu(s):   0.0 us,   0.9 sy,   0.0 ni,  99.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:54 %Cpu(s):   0.4 us,   1.4 sy,   0.0 ni,  98.0 id,   0.0 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:55 %Cpu(s):   0.9 us,   0.9 sy,   0.0 ni,  97.5 id,   0.4 wa,   0.0 hi,   0.0 si,   0.0 st
20251023-16:12:56 %Cpu(s):  20.6 us,   5.4 sy,   0.0 ni,  71.4 id,   1.4 wa,   0.0 hi,   0.9 si,   0.0 st
20251023-16:12:57 %Cpu(s):  44.6 us,   7.1 sy,   0.0 ni,  43.5 id,   0.0 wa,   0.0 hi,   4.1 si,   0.5 st
20251023-16:12:58 %Cpu(s):  44.7 us,   8.5 sy,   0.0 ni,  43.7 id,   0.0 wa,   0.0 hi,   3.0 si,   0.0 st
20251023-16:12:59 %Cpu(s):  47.9 us,   7.5 sy,   0.0 ni,  40.4 id,   0.0 wa,   0.0 hi,   4.0 si,   0.0 st
20251023-16:13:00 %Cpu(s):  35.3 us,   7.5 sy,   0.0 ni,  38.4 id,   0.0 wa,   0.0 hi,   4.4 si,  14.1 st
20251023-16:13:01 %Cpu(s):  38.8 us,   8.2 sy,   0.0 ni,  36.0 id,   5.0 wa,   0.0 hi,   3.1 si,   8.6 st
20251023-16:13:02 %Cpu(s):  40.0 us,  10.1 sy,   0.0 ni,  40.0 id,   4.8 wa,   0.0 hi,   4.8 si,   0.0 st
20251023-16:13:03 %Cpu(s):  40.5 us,  10.0 sy,   0.0 ni,  38.5 id,   5.5 wa,   0.0 hi,   5.0 si,   0.5 st
20251023-16:13:04 %Cpu(s):  36.5 us,   9.7 sy,   0.0 ni,  45.3 id,   3.4 wa,   0.0 hi,   4.8 si,   0.0 st
20251023-16:13:05 %Cpu(s):  42.3 us,   6.6 sy,   0.0 ni,  43.8 id,   1.5 wa,   0.0 hi,   4.5 si,   1.0 st
20251023-16:13:06 %Cpu(s):  40.4 us,   8.5 sy,   0.0 ni,  43.9 id,   2.0 wa,   0.0 hi,   4.5 si,   0.5 st
20251023-16:13:07 %Cpu(s):  39.5 us,   9.7 sy,   0.0 ni,  44.3 id,   1.9 wa,   0.0 hi,   4.3 si,   0.0 st
20251023-16:13:08 %Cpu(s):  40.2 us,   8.5 sy,   0.0 ni,  45.2 id,   1.5 wa,   0.0 hi,   4.5 si,   0.0 st
20251023-16:13:09 %Cpu(s):  39.4 us,   6.8 sy,   0.0 ni,  43.8 id,   2.9 wa,   0.0 hi,   6.4 si,   0.4 st
20251023-16:13:10 %Cpu(s):  43.0 us,   9.4 sy,   0.0 ni,  40.0 id,   2.4 wa,   0.0 hi,   4.9 si,   0.0 st
20251023-16:13:11 %Cpu(s):  45.4 us,   5.6 sy,   0.0 ni,  41.3 id,   3.0 wa,   0.0 hi,   4.0 si,   0.5 st
20251023-16:13:12 %Cpu(s):  43.5 us,   7.0 sy,   0.0 ni,  43.5 id,   2.0 wa,   0.0 hi,   4.0 si,   0.0 st
