service,function
loadPJInhouse4,pj_inhouse4_btn_go_4_webbl
arlDisp21,arl_list_disp_arlist2_webbl
viewExpectedRevenue,view_expected_revenue_webbl
updateSignRcConfirmSelection,update_sign_rc_confim_selectionbl
loadRmcompSegmentList1,rmcomp_segment_web_1bl
pjArrive21,pj_arrive1_webbl
walkinList1,walkin_list_1webbl
extendResvReport,resv_extend_report_webbl
chgrmrateReport,chgrmrate_report_1bl
prepareTauziarpt,prepare_nt_tauziarptbl
tauziarpt,tauziarpt_webbl
rmProduct3LoadData,cr_rmproduct_3bl
rsvGuestNameReorganizes,reorganizes_rsv_guest_namebl
foStatSelectSortingPrepare,prepare_fo_stat_select_sortingbl
rmProduct3LoadDataCustom,cr_rmproduct_3_webbl
rmFproduct2,cr_fproduct_2bl
printReservationsPrepare,prepare_print_reservations_1bl
arlDisp3,arl_list_disp_arlist3_webbl
reslineCreate11,mk_resline_go1_1bl
gcfCreate1,create_gcf_webbl
monthlyFcast121,cr_occfcast1_2_webbl
leadtimeRsv41,leadtime_rsv_4_webbl
gcfInfo1Prepare,prepare_gcf_info_webbl
resList3,res_list_3bl
resCancelled1Custom,res_cancelled1_webbl
arlListAddKeycard,arl_list_add_keycardbl
rmRevenueFcastDetail,rm_revenue_fcast_detail_webbl
pjDepart4,pj_depart_4bl
pjSelectSortingPrepare,prepare_pj_select_sortingbl
pjDepart14,pj_depart1_4bl
arlListAddKeycard1,arl_list_add_keycard1bl
foreignList1,foreign_list1_webbl
loadPJInhouse4CreateOutput,pj_inhouse4_create_output_webbl
loadPJInhouse4Custom,pj_inhouse4_webbl
loadPJInhouse4Summary,pj_inhouse4_summary_webbl
companyGuestList2,company_glist_2bl
pjDepart4Custom,pj_depart_4_webbl
pjDepart14Custom,pj_depart1_4_webbl
rmFbysegment1,rm_fbysegment_btn_go_1bl
reslineCreate3,mk_resline_go_3bl
dynaratesBookingGet1,get_dynarates_booking_1bl
showRevenue1,view_staycost_1bl
resRmrateViewRepeatCharge,res_rmrate_view_repeat_chargebl
showRevenuePrepare1,prepare_view_staycost_1bl
resRmrate3Prepare,prepare_res_rmrate_3bl
reslinePrepare4,prepare_resline_4bl
arlListRunMiInvoice23,arl_list_run_mi_invoice_23bl
rmFproductShowdetail,cr_fproduct_showdetail_webbl
loadGuestSegmentByRoomOutput,rmcat_segment_create_output_webbl
availabilityCreateCustom,cr_availability_webbl
loadPJInhouse4Custom1,pj_inhouse4_1webbl
loadPJInhouse4CreateOutput1,pj_inhouse4_create_output_1webbl
rmProductbyrateCustom,rm_productbyrate_webbl
activitiesHistoryCustom,activities_history_webbl
activitiesHistoryCreateOutput,activities_history_create_output_webbl
keycardQR,keycard_qrbl
guestDepositpayPrepare,prepare_guest_depositpay_webbl
guestDepositpay,guest_depositpay_webbl
3monthlyForecast,_3monthly_forecastbl
deferredRental,deferred_rentalbl
resList31,res_list_3_webbl
roomProductRoomtype,room_product_roomtype_webbl
loadPJInhouse4CreateOutput2,pj_inhouse4_create_output_2webbl
guestDepositList,guest_deposit_list_webbl
resRmrateChkBtnGoCustom,chk_btn_go_res_rmrate_webbl
prepareRmStatCustom,prepare_rm_stat2_webbl
rmRevenue3,rm_revenue_2_webbl
availabilityCreate1Custom,cr_availability1_webbl
prepareRmStat21,prepare_rm_stat2_1bl
rmStatistic31,rm_stat3_1bl
bedAvailabilityCustom,availability_webbl
rmProductratecode,rm_productratecode_create_umsatz1_webbl
3monthFsegment,_3month_fsegment_webbl
resGname2PrepareCustom,prepare_res_gname2_webbl
resGname2AutoAssignmentCustom,res_gname2_auto_assignment_webbl
updateReservation,update_reservationbl
arlListRunMiInvoice22Custom,arl_list_run_mi_invoice_22_webbl
loadDataLongShortStayReportCustom,longshort_stay_btn_webbl
arlDisp4,arl_list_disp_arlist4_webbl
prepareRMProduct1,prepare_rm_product_1bl
pjArrive22,pj_arrive2_webbl
gcfHistory4,gcf_history_4bl
loadPJInhouse4Custom2,pj_inhouse4_2_webbl
loadPJInhouse24,pj_inhouse2_btn_go_4_webbl
rmProduct4LoadDataCustom,cr_rmproduct_4_webbl
resList2,res_list_2_webbl
rmFbyroomtype1,rm_fbyroomtype_btn_go_1bl
keycardHistory,keycard_history_webbl
rmRevenue4,rm_revenue_3_webbl
arlDisp5,arl_list_disp_arlist5_webbl
rmFbyguest,rm_fbyguest_btn_gobl
resGroupsummary,res_groupsummary_webbl
resRmrate1ChkBtnGoCustom,chk_btn_go_res_rmrate_web1bl
guestRemark,guest_remark_webbl
repeatGlistCustom,repeat_glist_webbl
3monthlyForecastCustom,_3monthly_forecast_webbl
arlDisp6,arl_list_disp_arlist6_webbl
argtFrateFillRate1Custom,argt_frate_fill_rate_1_webbl
gcfHistoryPrepare1,prepare_gcf_history_1bl
gcfHistoryCentralizedPrepare,prepare_gcf_history_centralizedbl
repeatGlistCentralized,repeat_glist_centralized_webbl
reservationLeasingDelete,del_reserve_webbl
leasingReservation,reservation_webbl
gcfBtnGoCustom,gcf_btn_go_webbl
reslineCreate2,mk_resline_go2_webbl
resGname2UpdateRes1Custom,gname2_update_res1_webbl
reslinePrepare3Custom,prepare_resline_3_webbl
pjarrive3,pj_arrive3_webbl
